"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2150","TC07 - Long name","chromium","2026-03-28","passed","2026-03-28","Signup Test Cases","signup.spec.js","",""
"","2114","TC10 - Reload page","webkit","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","2463","TC10 - Page content exists","firefox","2026-03-28","passed","2026-03-28","","cart.spec.js","",""
"","2903","TC11 - Fill and verify all fields","firefox","2026-03-28","passed","2026-03-28","","contact.spec.js","",""
"","3923","TC07 - Click second profile","firefox","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","4572","TC09 - Reload page","firefox","2026-03-28","passed","2026-03-28","","contact.spec.js","",""
"","2672","TC14 - Double click profile","chromium","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","3227","TC10 - Search field visible","webkit","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","3978","TC04 - Missing password","firefox","2026-03-28","passed","2026-03-28","Signup Test Cases","signup.spec.js","",""
"","5263","TC16 - Invalid password","webkit","2026-03-28","passed","2026-03-28","","login.spec.js","",""
"","3450","TC01 - Subjects page loads","webkit","2026-03-28","passed","2026-03-28","","service.spec.js","",""
"","2351","TC12 - Profile count check","chromium","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","2396","TC10 - Page content exists","chromium","2026-03-28","passed","2026-03-28","","cart.spec.js","",""
"","1802","TC18 - Click Music","chromium","2026-03-28","passed","2026-03-28","","service.spec.js","",""
"","1724","TC14 - Scroll up and down","chromium","2026-03-28","passed","2026-03-28","","cart.spec.js","",""
"","4175","TC10 - Reload page","firefox","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","3629","TC05 - Empty login submission","firefox","2026-03-28","passed","2026-03-28","","login.spec.js","",""
"","3153","TC15 - Email with spaces","webkit","2026-03-28","passed","2026-03-28","","contact.spec.js","",""
"","3960","TC05 - Click Chemistry","webkit","2026-03-28","passed","2026-03-28","","service.spec.js","",""
"","3040","TC23 - Invalid email format","chromium","2026-03-28","passed","2026-03-28","","login.spec.js","",""
"","2324","TC10 - Search field visible","chromium","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","3986","TC06 - Only email entered","webkit","2026-03-28","passed","2026-03-28","","login.spec.js","",""
"","3513","TC22 - Password case sensitivity","firefox","2026-03-28","passed","2026-03-28","","login.spec.js","",""
"","3402","TC05 - Only first name","webkit","2026-03-28","passed","2026-03-28","","contact.spec.js","",""
"","3054","TC03 - Navigate teacher profile","chromium","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","3493","TC04 - Multiple teachers visible","firefox","2026-03-28","passed","2026-03-28","","payment.spec.js","",""
"","1921","TC04 - Checkout button check","chromium","2026-03-28","passed","2026-03-28","","cart.spec.js","",""
"","3809","TC10 - Forgot password link click","firefox","2026-03-28","passed","2026-03-28","","login.spec.js","",""
