"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2087","TC06 - Scroll page","webkit","2026-04-01","passed","2026-04-01","","cart.spec.js","",""
"","3857","API booking history retrieval after login","firefox","2026-04-01","passed","2026-04-01","","paymentAPI.spec.js","",""
"","3894","TC03 - Click Mathematics","chromium","2026-04-01","passed","2026-04-01","","service.spec.js","",""
"","6993","TC07 - Long name","firefox","2026-04-01","passed","2026-04-01","Signup Test Cases","signup.spec.js","",""
"","3805","TC11 - Name with spaces","chromium","2026-04-01","passed","2026-04-01","Signup Test Cases","signup.spec.js","",""
"","3428","TC09 - Reload page","webkit","2026-04-01","passed","2026-04-01","","contact.spec.js","",""
"","15","TC11 - Navigate to Sign Up page","firefox","2026-04-01","skipped","2026-04-01","","login.spec.js","",""
"","3281","TC09 - Scroll page","chromium","2026-04-01","passed","2026-04-01","","payment.spec.js","",""
"","320","API booking creation without authentication shows error","webkit","2026-04-01","passed","2026-04-01","","paymentAPI.spec.js","",""
"","2267","TC06 - Click Biology","firefox","2026-04-01","passed","2026-04-01","","service.spec.js","",""
"","2763","TC02 - URL contains cart","firefox","2026-04-01","passed","2026-04-01","","cart.spec.js","",""
"","3423","TC17 - Alphabet password","webkit","2026-04-01","passed","2026-04-01","Signup Test Cases","signup.spec.js","",""
"","11993","TC08 - Special char name","firefox","2026-04-01","passed","2026-04-01","Signup Test Cases","signup.spec.js","",""
"","2458","TC18 - Double click input field","chromium","2026-04-01","passed","2026-04-01","","contact.spec.js","",""
"","2940","TC02 - Invalid email","chromium","2026-04-01","passed","2026-04-01","Signup Test Cases","signup.spec.js","",""
"","2001","TC02 - Checkout button check (safe)","chromium","2026-04-01","passed","2026-04-01","","cart.spec.js","",""
"","3048","TC10 - Scroll page","webkit","2026-04-01","passed","2026-04-01","","contact.spec.js","",""
"","3054","TC20 - Fields remain visible","firefox","2026-04-01","passed","2026-04-01","","contact.spec.js","",""
"","3061","TC13 - Multiple reload","chromium","2026-04-01","passed","2026-04-01","","cart.spec.js","",""
"","4358","TC03 - Click View Profile","firefox","2026-04-01","passed","2026-04-01","","payment.spec.js","",""
"","4100","TC18 - Click Music","chromium","2026-04-01","passed","2026-04-01","","service.spec.js","",""
"","3420","TC17 - Tab navigation between fields","webkit","2026-04-01","passed","2026-04-01","","contact.spec.js","",""
"","2886","TC17 - Cart page not empty","firefox","2026-04-01","passed","2026-04-01","","cart.spec.js","",""
