"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1836","TC13 - Multiple clicks on Sign In button","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1655","TC15 - Reload page","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","459","TC11 - Navigate back","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","737","TC08 - Scroll cart","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","537","TC09 - Navigate back","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","903","TC05 - Scroll page","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","912","TC07 - Reload page","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","679","TC04 - Login with invalid password","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1096","TC02 - Fill valid details","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1581","TC20 - Only password","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","717","TC02 - Checkout button check (safe)","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","638","TC13 - Multiple reload","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1357","TC18 - Empty login","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","638","TC02 - Fill valid details","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1573","TC06 - Invalid email format","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","1140","TC13 - Multiple clicks on Sign In button","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","627","TC09 - Scroll page","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1455","TC10 - Forgot password link click","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","463","TC01 - Payment page loads","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1256","TC12 - Profile count check","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","610","TC16 - Numeric password","chromium","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","858","TC09 - Scroll page","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1582","TC17 - Invalid email","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1004","TC19 - Empty email","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","3324","TC08 - Scroll cart","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","551","TC18 - Click Music","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","638","TC17 - Invalid email","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","752","TC14 - Short name","chromium","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","883","TC12 - Hover card","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","447","TC09 - Double click body","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","717","TC17 - Tab navigation between fields","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","761","TC25 - Refresh subjects page","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1074","TC01 - Login page loads","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","800","TC10 - Scroll page","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","684","TC08 - Reload page","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1470","TC07 - Click Computer Science","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","862","TC07 - Click Computer Science","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","611","TC17 - Alphabet password","chromium","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","710","TC06 - Scroll page","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","556","TC24 - Footer visible","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1077","TC17 - Art subject visible","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","840","TC04 - Click Physics","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1559","TC01 - Contact fields visible","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1137","TC02 - View Profile visible","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","583","TC04 - Checkout button check","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1591","TC07 - Only password entered","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","1031","TC12 - Modify input values","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","818","TC12 - Navigate forward","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","729","TC10 - Reload page","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","844","TC19 - Rapid typing input","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","2584","TC19 - Wait for cart page load","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1158","TC05 - Scroll page","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","580","TC12 - Verify input fields accept values","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","812","TC09 - Reload cart","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","596","TC09 - Scroll page","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","591","TC20 - Empty password","chromium","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","767","TC16 - Music subject visible","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","603","TC13 - Strong password","chromium","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","1393","TC18 - Click Music","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1313","TC08 - Reload page","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","606","TC04 - Click Physics","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","687","TC02 - URL contains cart","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","849","TC14 - Numeric name input","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","573","TC08 - Click English","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1357","TC21 - Navigate to Contact","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","692","TC09 - Reload page","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1475","TC12 - Email uppercase","webkit","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","0","TC11 - Navigate to Sign Up page","webkit","2026-03-30","skipped","2026-03-30","","login.spec.js","",""
"","588","TC18 - Double click input field","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","436","TC05 - Click checkout safe","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","897","TC19 - Click Art","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","891","TC13 - Strong password","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","875","TC02 - Fill valid details","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","929","TC16 - Numeric password","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","538","TC16 - Music subject visible","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","646","TC08 - Hover checkout","firefox","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1360","TC14 - Navigate home","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","578","TC14 - Navigate home","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1318","TC14 - Refresh page after entering data","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","853","TC02 - Checkout button check (safe)","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","441","TC14 - Scroll up and down","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","641","TC15 - Reload page","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","883","TC03 - Missing email","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","933","TC18 - Empty name","firefox","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","613","TC16 - Invalid password","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","899","TC13 - Multiple clicks (fixed)","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","583","TC01 - Cart page basic validation","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","587","TC10 - Reload page","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","617","TC01 - Payment page loads","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","540","TC15 - Email with spaces","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1403","TC06 - Hover profile","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","561","TC13 - Uppercase name input","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1174","TC04 - Multiple teachers visible","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","777","TC07 - Click second profile","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","618","TC06 - Scroll page","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","908","TC17 - Invalid email","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","563","TC06 - Only email","chromium","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","605","TC16 - Open cart multiple times","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","618","TC01 - Payment page loads","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1125","TC18 - Double click input field","firefox","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1238","TC19 - Multiple navigation","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1527","TC07 - Long name","webkit","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","1512","TC19 - Only email","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","3391","TC19 - Multiple navigation","webkit","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1557","TC18 - Double click input field","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","476","TC08 - Hover checkout","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","772","TC15 - URL validation after click","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","900","TC14 - Navigate home","firefox","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","526","TC06 - Scroll page","chromium","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","613","TC03 - Click Mathematics","chromium","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","752","TC03 - Click View Profile","chromium","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1429","TC19 - Click Art","webkit","2026-03-30","passed","2026-03-30","","service.spec.js","",""
"","1538","TC14 - Short name","webkit","2026-03-30","passed","2026-03-30","Signup Test Cases","signup.spec.js","",""
"","1291","TC07 - Click second profile","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","1141","TC04 - Multiple teachers visible","firefox","2026-03-30","passed","2026-03-30","","payment.spec.js","",""
"","589","TC11 - Navigate back","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","605","TC09 - Password masking check","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","534","TC17 - Cart page not empty","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","693","TC12 - Navigate forward","webkit","2026-03-30","passed","2026-03-30","","cart.spec.js","",""
"","1176","TC05 - Only first name","webkit","2026-03-30","passed","2026-03-30","","contact.spec.js","",""
"","1061","TC12 - Verify input fields accept values","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
